[Wed Dec 02 17:07:29.150091 2020] [proxy_http:error] [pid 9:tid 140105589594912] (70007)The timeout specified has expired: [client 192.168.80.1:60328] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:07:29.167173 2020] [proxy_http:error] [pid 9:tid 140105590598432] (70007)The timeout specified has expired: [client 192.168.80.1:60300] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:08:32.519995 2020] [proxy_http:error] [pid 7:tid 140105590741792] (70007)The timeout specified has expired: [client 192.168.80.1:60346] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:09:35.530055 2020] [proxy_http:error] [pid 7:tid 140105591315232] (70007)The timeout specified has expired: [client 192.168.80.1:60352] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:17:14.108043 2020] [proxy_http:error] [pid 7:tid 140351123598112] (70007)The timeout specified has expired: [client 192.168.96.1:48170] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:18:17.477263 2020] [proxy_http:error] [pid 9:tid 140351124028192] (70007)The timeout specified has expired: [client 192.168.96.1:48182] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:49:34.353775 2020] [proxy_http:error] [pid 7:tid 140141710474016] (70007)The timeout specified has expired: [client 192.168.128.1:42022] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:50:37.358779 2020] [proxy_http:error] [pid 91:tid 140141712333600] (70007)The timeout specified has expired: [client 192.168.128.1:42044] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:51:40.346860 2020] [proxy_http:error] [pid 9:tid 140141712194336] (70007)The timeout specified has expired: [client 192.168.128.1:42050] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:52:43.355955 2020] [proxy_http:error] [pid 91:tid 140141711616800] (70007)The timeout specified has expired: [client 192.168.128.1:42056] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:53:46.348435 2020] [proxy_http:error] [pid 91:tid 140141711330080] (70007)The timeout specified has expired: [client 192.168.128.1:42062] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:54:49.343352 2020] [proxy_http:error] [pid 8:tid 140141711477536] (70007)The timeout specified has expired: [client 192.168.128.1:42068] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:55:52.372762 2020] [proxy_http:error] [pid 8:tid 140141711190816] (70007)The timeout specified has expired: [client 192.168.128.1:42074] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:56:55.336004 2020] [proxy_http:error] [pid 8:tid 140141710904096] (70007)The timeout specified has expired: [client 192.168.128.1:42080] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:57:58.288531 2020] [proxy_http:error] [pid 9:tid 140141712481056] (70007)The timeout specified has expired: [client 192.168.128.1:42086] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 17:59:01.272777 2020] [proxy_http:error] [pid 7:tid 140141709900576] (70007)The timeout specified has expired: [client 192.168.128.1:42092] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 18:40:13.560833 2020] [proxy_http:error] [pid 8:tid 140141710617376] (70007)The timeout specified has expired: [client 192.168.128.1:42104] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 18:40:13.578587 2020] [proxy_http:error] [pid 9:tid 140141710474016] (70007)The timeout specified has expired: [client 192.168.128.1:42098] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 18:41:17.020055 2020] [proxy_http:error] [pid 9:tid 140141711477536] (70007)The timeout specified has expired: [client 192.168.128.1:42116] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 18:55:56.420698 2020] [proxy_http:error] [pid 7:tid 140141709470496] (70007)The timeout specified has expired: [client 192.168.128.1:42122] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 19:52:28.834996 2020] [proxy_http:error] [pid 8:tid 139973587925792] (70007)The timeout specified has expired: [client 172.18.0.1:41396] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 20:12:11.574064 2020] [proxy_http:error] [pid 8:tid 140673928649504] (70007)The timeout specified has expired: [client 172.20.0.1:32778] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 20:13:14.757334 2020] [proxy_http:error] [pid 8:tid 140673928792864] (70007)The timeout specified has expired: [client 172.20.0.1:32800] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 20:14:18.299585 2020] [proxy_http:error] [pid 9:tid 140673929222944] (70007)The timeout specified has expired: [client 172.20.0.1:32806] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 20:15:21.761983 2020] [proxy_http:error] [pid 10:tid 140673929222944] (70007)The timeout specified has expired: [client 172.20.0.1:32812] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 20:16:25.255998 2020] [proxy_http:error] [pid 10:tid 140673929366304] (70007)The timeout specified has expired: [client 172.20.0.1:32818] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 20:17:28.292817 2020] [proxy_http:error] [pid 10:tid 140673929796384] (70007)The timeout specified has expired: [client 172.20.0.1:32824] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 20:18:31.638764 2020] [proxy_http:error] [pid 9:tid 140673929366304] (70007)The timeout specified has expired: [client 172.20.0.1:32830] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 20:21:48.308384 2020] [proxy:error] [pid 8:tid 140063511132960] (111)Connection refused: AH00957: HTTP: attempt to connect to 172.21.0.5:3000 (ui) failed
[Wed Dec 02 20:21:48.310265 2020] [proxy_http:error] [pid 8:tid 140063511132960] [client 172.21.0.1:39780] AH01114: HTTP: failed to make connection to backend: ui, referer: http://localhost:8080/
[Wed Dec 02 20:23:36.283026 2020] [proxy_http:error] [pid 8:tid 140063509269280] (70008)Partial results are valid but processing is incomplete: [client 172.21.0.1:39792] AH01110: error reading response, referer: http://localhost:8080/
[Wed Dec 02 21:32:34.140113 2020] [proxy_http:error] [pid 9:tid 139966009969440] (70007)The timeout specified has expired: [client 172.27.0.1:40354] AH01110: error reading response, referer: http://localhost:8080/
